Region,Product Family,Channel Grouping,Channel,Week End Date, GV ,YoY
NA,Hardlines,Unmanaged,Other Personalization,1/17/2026 0:00," 25,161 ",0.38406953077727046
NA,Hardlines,Unmanaged,Other Personalization,1/10/2026 0:00," 21,545 ",0.3278072229754715
NA,Hardlines,Unmanaged,Other Personalization,1/3/2026 0:00," 22,480 ",0.29979762937265103
NA,Hardlines,Unmanaged,Detail Page,1/31/2026 0:00," 16,394 ",-0.054719483
NA,Hardlines,Unmanaged,Detail Page,1/24/2026 0:00," 14,464 ",-0.055751404
NA,Hardlines,Unmanaged,Detail Page,1/17/2026 0:00," 22,292 ",0.3406302622083233
NA,Hardlines,Unmanaged,Detail Page,1/10/2026 0:00," 21,192 ",0.43752543752543754
NA,Hardlines,Unmanaged,Detail Page,1/3/2026 0:00," 19,899 ",0.3281051858773276
NA,Hardlines,Unmanaged,Push Notification,1/31/2026 0:00," 3,552 ",0.2265193370165746
NA,Hardlines,Unmanaged,Push Notification,1/24/2026 0:00," 3,897 ",0.3336755646817248
NA,Hardlines,Unmanaged,Push Notification,1/17/2026 0:00," 3,167 ",0.43108901943063715
NA,Hardlines,Unmanaged,Push Notification,1/10/2026 0:00," 5,036 ",1.1338983050847458
NA,Hardlines,Unmanaged,Push Notification,1/3/2026 0:00," 4,618 ",1.0606871932173136
NA,Hardlines,Unmanaged,Email,1/31/2026 0:00," 2,962 ",0.555672269
NA,Hardlines,Unmanaged,Email,1/24/2026 0:00," 3,158 ",0.6104028556858746
NA,Hardlines,Unmanaged,Email,1/17/2026 0:00," 2,780 ",0.17696867061812024
NA,Hardlines,Unmanaged,Email,1/10/2026 0:00," 2,468 ",0.3391209983722192
NA,Hardlines,Unmanaged,Email,1/3/2026 0:00," 2,496 ",0.329073482
NA,Hardlines,Unmanaged,Invalid Ref_Marker,1/31/2026 0:00, 129 ,-0.784641068
NA,Hardlines,Unmanaged,Invalid Ref_Marker,1/24/2026 0:00, 135 ,-0.790372671
NA,Hardlines,Unmanaged,Invalid Ref_Marker,1/17/2026 0:00, 872 ,0.28424153166421207
NA,Hardlines,Unmanaged,Invalid Ref_Marker,1/10/2026 0:00, 310 ,-0.548104956
NA,Hardlines,Unmanaged,Invalid Ref_Marker,1/3/2026 0:00, 707 ,-0.177906977
NA,Hardlines,Unmanaged,Landing Pages,1/31/2026 0:00," 1,271 ",1.3981132075471698
NA,Hardlines,Unmanaged,Landing Pages,1/24/2026 0:00, 846 ,0.27601809954751133
NA,Hardlines,Unmanaged,Landing Pages,1/17/2026 0:00," 1,054 ",0.7392739273927392
NA,Hardlines,Unmanaged,Landing Pages,1/10/2026 0:00," 1,435 ",1.5353356890459364
NA,Hardlines,Unmanaged,Landing Pages,1/3/2026 0:00," 1,040 ",0.7333333333333333
NA,Hardlines,Unmanaged,Buy Again,1/31/2026 0:00, 903 ,0.713472486
NA,Hardlines,Unmanaged,Buy Again,1/24/2026 0:00, 944 ,0.7777777777777778
NA,Hardlines,Unmanaged,Buy Again,1/17/2026 0:00, 974 ,0.7773722627737226
NA,Hardlines,Unmanaged,Buy Again,1/10/2026 0:00, 944 ,0.5128205128205128
NA,Hardlines,Unmanaged,Buy Again,1/3/2026 0:00, 882 ,0.5834829443447038
NA,Hardlines,Unmanaged,Non-APB Value Pick,1/31/2026 0:00, 231 ,-0.462790698
NA,Hardlines,Unmanaged,Non-APB Value Pick,1/24/2026 0:00, 318 ,-0.299559471
NA,Hardlines,Unmanaged,Non-APB Value Pick,1/17/2026 0:00, 413 ,-0.208812261
NA,Hardlines,Unmanaged,Non-APB Value Pick,1/10/2026 0:00, 244 ,-0.539622642
NA,Hardlines,Unmanaged,Non-APB Value Pick,1/3/2026 0:00, 226 ,-0.585321101
NA,Hardlines,Unmanaged,Offsite Display,1/31/2026 0:00, 8 ,-0.466666667
NA,Hardlines,Unmanaged,Offsite Display,1/24/2026 0:00, 8 ,0.3333333333333333
NA,Hardlines,Unmanaged,Offsite Display,1/17/2026 0:00, 13 ,
NA,Hardlines,Unmanaged,Offsite Display,1/10/2026 0:00, 11 ,10
NA,Hardlines,Unmanaged,Offsite Display,1/3/2026 0:00, 7 ,0.4
NA,Hardlines,Unmanaged,Other Personalization Sponsored,1/31/2026 0:00, 28 ,
NA,Hardlines,Unmanaged,Other Personalization Sponsored,1/24/2026 0:00, 2 ,
NA,Hardlines,Unmanaged,Other Personalization Sponsored,1/17/2026 0:00, -   ,-1
NA,Hardlines,Unmanaged,Other Personalization Sponsored,1/10/2026 0:00, -   ,
NA,Hardlines,Unmanaged,Subscribe&Save,1/24/2026 0:00, -   ,
NA,Hardlines,Unmanaged,Subscribe&Save,1/17/2026 0:00, 1 ,
NA,Hardlines,Unmanaged,Subscribe&Save,1/10/2026 0:00, -   ,
NA,Hardlines,Unmanaged,Subscribe&Save,1/3/2026 0:00, -   ,
NA,Hardlines,Unmanaged,No Attributed GV (e.g. Subscription),1/31/2026 0:00, -   ,
NA,Hardlines,Unmanaged,No Attributed GV (e.g. Subscription),1/24/2026 0:00, -   ,
NA,Hardlines,Unmanaged,No Attributed GV (e.g. Subscription),1/17/2026 0:00, -   ,
NA,Hardlines,Unmanaged,No Attributed GV (e.g. Subscription),1/10/2026 0:00, -   ,
NA,Hardlines,Unmanaged,No Attributed GV (e.g. Subscription),1/3/2026 0:00, -   ,
